"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"direct-llm","pedestrian-distance-trigger","Pedestrian starts from vehicle distance","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","7884","8019","2358","634","2992","1","0","","","","","","true","true","true","20","127","07989822d544c98d69998d1afa6b9870d57b74983527bf0f4188bb1495319e8f","2","1","true","true","","","1","0","false","","","",""
"direct-llm","pedestrian-ttc-trigger","Pedestrian starts from TTC","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","9912","10000","2359","881","3240","1","0","","","","","","true","true","true","20","82","93221f21411de5af21c40e4a9d1d03aa264642202b2b2977ef8faf3d9e695e9b","2","2","true","true","","","2","0","false","","","",""
"direct-llm","child-between-parked-vehicles","Child occluded by two parked vehicles","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","12611","12692","2353","1180","3533","1","0","","","","","","true","true","true","20","74","7218594fb27a1e67c82cd77f1319a1633ffa8ceeca53beb06e04f89b82a3e7b4","4","5","true","true","","","0","0","","","","",""
"direct-llm","synchronized-near-miss","Synchronized conflict-point near miss","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","failure","map-binding","8453","8455","2357","685","3042","1","0","","","","","","false","false","false","","","","","","false","false","near_miss_trigger_unresolved at choreography.interactions.near-miss-1.trigger: near-miss trigger cannot be resolved against the canonical target trajectory","","","","","","","",""
"direct-llm","emergency-yield-response","Distance-triggered emergency yield","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","semantic-mismatch","semantic-constraints","3017","3135","2361","270","2631","1","0","","","","","","true","true","true","20","110","7146066ea79a7ddbdc76d72dc045fec000517fb7bc8643b178a9222075c6bb25","2","1","false","true","emergency-actor: emergency actors=0","","1","0","false","","","",""
"direct-llm","signal-delayed-turn","Signal phase delayed turn","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","semantic-mismatch","semantic-constraints","9597","9666","2356","762","3118","1","0","","","","","","true","true","true","20","65","352b8aef54ba74a311e1869a967e614381d33902e47f818b3e40ffe51fa76f64","2","1","false","true","delayed-turn: turn=false; delayed=false; signal-control: 0 plans; 0 controls","","0","0","","","","",""
"direct-llm","merge-rear-gap","Merge after rear-gap acceptance","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","7225","7321","2355","606","2961","1","0","","","","","","true","true","true","20","93","c13e1c4c796c72c1ae8b5dbd7f31a9c4d68899e3c02aef00e85b31f307d61e7f","2","1","true","true","","","1","1","true","","","",""
"direct-llm","bus-occluded-cyclist","Cyclist occluded by stopped bus","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","22669","22815","5246","2103","7349","2","1","","","","","","true","true","true","20","140","ae685bbd051d13a7f5bab3a89c556b01175d6e2698410067cd627a8c5e12dcd7","3","3","true","true","","","0","0","","","","",""
"direct-llm","lane-change-then-brake","Sequential lane change then brake","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","8111","8209","2355","694","3049","1","0","","","","","","true","true","true","20","94","7c2e05cb177ba85035377112c519a7ea0bf26f2a10ef181e1ab47dbd65435307","2","2","true","true","","","0","0","","","","",""
"direct-llm","contradictory-constraints","Contradictory physical constraints","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","unexpected-generation","unsupported-request-not-rejected","4096","4109","2363","262","2625","1","0","","","","","","true","true","true","20","10","1f744415ad08e9c6419f9ff879786e56c5b893986f067d04dac286860abd1b97","1","0","false","true","Provider materialized and simulated an unsupported request","","0","0","","","","",""
