"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","providerWarnings","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","semanticAssertions","editablePass","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd","outcome","failureCategory","safeError","artifactId","seed"
"direct-llm","pedestrian-distance-trigger","Pedestrian starts from vehicle distance","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","12922","13046","2358","1167","3525","1","0","null","null","null","null","null","true","true","true","20","116","b9c2ada65dc16a4dcdcbf625d7134573621a9a4b856513c321ac9ee55538a447","2","1","true","[{""id"":""vehicle-and-pedestrian"",""pass"":true,""evidence"":""1 vehicles; 1 pedestrians""},{""id"":""pedestrian-distance-start"",""pass"":true,""evidence"":""1 pedestrian distance-triggered actions""}]","true","null","1","0","false","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","pedestrian-ttc-trigger","Pedestrian starts from TTC","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","23803","23902","2359","2562","4921","1","0","null","null","null","null","null","true","true","true","20","95","27deb70c53f86b641dc82d5e471fc2d3b4610005b70fe97e85f28779bc11b511","2","2","true","[{""id"":""vehicle-and-pedestrian"",""pass"":true,""evidence"":""1 vehicles; 1 pedestrians""},{""id"":""pedestrian-ttc-start"",""pass"":true,""evidence"":""1 pedestrian TTC-triggered actions""}]","true","null","1","0","false","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","child-between-parked-vehicles","Child occluded by two parked vehicles","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","41524","41726","5631","5143","10774","2","1","null","null","null","null","null","true","true","true","20","197","3837216027e71b8c144e25f7d9e7c417f8eec6295613f638c42e73940e2f2de8","4","7","true","[{""id"":""moving-vehicle-and-child"",""pass"":true,""evidence"":""3 vehicles; child=1""},{""id"":""two-parked-occluders"",""pass"":true,""evidence"":""2 parked large actors""},{""id"":""child-movement"",""pass"":true,""evidence"":""3 child actions""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","synchronized-near-miss","Synchronized conflict-point near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","34053","34059","5201","3932","9133","2","1","null","null","null","null","null","false","false","false","null","null","null","null","null","false","[]","false","null","null","null","null","null","null","null","null","failure","map-binding","near_miss_trigger_unresolved at choreography.interactions.controlled-near-miss.trigger: near-miss trigger cannot be resolved against the canonical target trajectory","direct-luna/results.json",""
"direct-llm","emergency-yield-response","Distance-triggered emergency yield","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","12932","13037","2361","1393","3754","1","0","null","null","null","null","null","true","true","true","20","102","05ddbe34211a1f55d69685c24a104fc72080ed51f7dc1fd78b22ceb2f128392f","2","2","false","[{""id"":""emergency-actor"",""pass"":false,""evidence"":""emergency actors=0""},{""id"":""relative-yield"",""pass"":true,""evidence"":""1 relative yield actions""}]","true","null","1","1","true","null","null","null","null","semantic-mismatch","semantic-constraints","emergency-actor: emergency actors=0","direct-luna/results.json",""
"direct-llm","signal-delayed-turn","Signal phase delayed turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","14518","14574","2356","1741","4097","1","0","null","null","null","null","null","true","true","true","20","53","74637e04cb43f767e970b7a15bc9bae39024bd21982547e77c4e3808f11f5bc3","2","5","false","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""delayed-turn"",""pass"":true,""evidence"":""turn=true; delayed=true""},{""id"":""signal-control"",""pass"":false,""evidence"":""0 plans; 0 controls""}]","true","null","0","0","null","null","null","null","null","semantic-mismatch","semantic-constraints","signal-control: 0 plans; 0 controls","direct-luna/results.json",""
"direct-llm","merge-rear-gap","Merge after rear-gap acceptance","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","13877","14002","2355","1652","4007","1","0","null","null","null","null","null","true","true","true","20","120","eb7df80a0155fa487f4ada4275a1d0f46356a448383b70757ba4521696adde33","2","3","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""distance-gated-merge"",""pass"":true,""evidence"":""1 distance-gated lateral actions""}]","true","null","1","1","true","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","bus-occluded-cyclist","Cyclist occluded by stopped bus","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","35698","35925","5335","4531","9866","2","1","null","null","null","null","null","true","true","true","20","225","ce4c4af79aafdcda10f90e04d3a841313389bb872c41eeae76248734c32818ec","3","4","true","[{""id"":""ego-and-bicycle"",""pass"":true,""evidence"":""3 vehicles; bicycle=true""},{""id"":""stopped-bus"",""pass"":true,""evidence"":""stopped bus=true""},{""id"":""cyclist-lateral-interaction"",""pass"":true,""evidence"":""lateral or near-miss action""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","lane-change-then-brake","Sequential lane change then brake","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","9849","9940","2355","1095","3450","1","0","null","null","null","null","null","true","true","true","20","89","e9717f3161e6f4abfffcd84d710a5a98edd7c29e4c514dc86e54f408345f561f","2","2","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""same-actor-sequence"",""pass"":true,""evidence"":""lane change completes before same actor stops""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","contradictory-constraints","Contradictory physical constraints","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","3373","3490","2363","272","2635","1","0","null","null","null","null","null","true","true","true","20","115","83514fa7b6749ed701626f6cbf5218566390c54e32d4ca997be8f2604a848eb5","2","0","false","[{""id"":""must-reject-contradiction"",""pass"":false,""evidence"":""provider materialized mutually contradictory collision and separation requirements""}]","true","null","0","0","null","null","null","null","null","unexpected-generation","unsupported-request-not-rejected","Provider materialized and simulated an unsupported request","direct-luna/results.json",""
"direct-llm","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","15845","15972","2356","894","3250","1","0","null","null","null","null","null","true","true","true","20","106","32391796c90a7b6f94bc9dab41bcfcac89dd8762117972d4218e3ac51627feaf","2","2","false","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""explicit-stop"",""pass"":false,""evidence"":""stopped actor or zero-speed action""},{""id"":""timed-speed-action"",""pass"":true,""evidence"":""speed action at/after 4s""}]","true","null","0","0","null","null","null","null","null","semantic-mismatch","semantic-constraints","explicit-stop: stopped actor or zero-speed action","direct-sol/results.json",""
"direct-llm","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","12971","13070","2351","754","3105","1","0","null","null","null","null","null","true","true","true","20","91","0bdb43d6310e50a447fad569096170aa173d2f817c98bb5fa3572618d5086e9e","2","3","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""lateral-action"",""pass"":true,""evidence"":""changeLane or laneOffset action""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","20872","20983","2354","1256","3610","1","0","null","null","null","null","null","true","true","true","20","106","2e7ee40e271802043e73695363a47cfb737adbc16bdf171ca709c1ce94515c96","2","4","false","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""turn-route"",""pass"":true,""evidence"":""route turn/path action""},{""id"":""signal-control"",""pass"":false,""evidence"":""signal plan/control/action""}]","true","null","0","0","null","null","null","null","null","semantic-mismatch","semantic-constraints","signal-control: signal plan/control/action","direct-sol/results.json",""
"direct-llm","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","12023","12036","2354","625","2979","1","0","null","null","null","null","null","false","false","false","null","null","null","null","null","false","[]","false","null","null","null","null","null","null","null","null","failure","map-binding","near_miss_infeasible_speed at choreography.interactions.pedestrian-crossing-near-miss.target: no collision-free near miss satisfies the time, speed and clearance bounds","direct-sol/results.json",""
"direct-llm","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","37478","37625","2351","1961","4312","1","0","null","null","null","null","null","true","true","true","20","142","62a8730a8bd56afb7f03230355d552f34486956c8d0153f12609b41dfd5dbc99","3","4","true","[{""id"":""vehicle-and-pedestrian"",""pass"":true,""evidence"":""2 vehicles; pedestrian=true""},{""id"":""static-large-occluder"",""pass"":true,""evidence"":""static occluder; catalogs=vehicle.sedan,vehicle.van,pedestrian.child_walking""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","22307","22466","2354","1119","3473","1","0","null","null","null","null","null","true","true","true","20","148","09795056fa711297a0222550e70794ae3d1a0b34f454eae831c38ae34b9ee96c","3","3","true","[{""id"":""three-vehicles"",""pass"":true,""evidence"":""3 vehicles""},{""id"":""coordinated-actions"",""pass"":true,""evidence"":""3 actions""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","18845","18928","2347","831","3178","1","0","null","null","null","null","null","true","true","true","20","77","b387002d81e4e7004784ae41b65d7b50fb37fd8d6e311f465f9ecba52cf7a64c","2","1","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""stopped-obstacle"",""pass"":true,""evidence"":""stopped/static actor or zero-speed action""}]","true","null","1","1","true","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","12002","12055","2346","626","2972","1","0","null","null","null","null","null","true","true","true","20","51","43a0bbf5acbb88ed0ca9925b7d4f8e64e76318bda82e0c0d051ef924441b7adf","2","1","false","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""turn-route"",""pass"":false,""evidence"":""route turn/path action""}]","true","null","0","0","null","null","null","null","null","semantic-mismatch","semantic-constraints","turn-route: route turn/path action","direct-sol/results.json",""
"direct-llm","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","54604","54709","2349","3120","5469","1","0","null","null","null","null","null","true","true","true","20","99","2c4a2485e9b694e5ed65a3b70cdbdd0f5ec175ba5bbc144fb1005c19c1a6629f","2","4","true","[{""id"":""motorcycle"",""pass"":true,""evidence"":""catalogs=vehicle.motorcycle,vehicle.bicycle""},{""id"":""bicycle"",""pass"":true,""evidence"":""catalogs=vehicle.motorcycle,vehicle.bicycle""},{""id"":""lateral-action"",""pass"":true,""evidence"":""lateral or near-miss action""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","9913","9994","2349","535","2884","1","0","null","null","null","null","null","true","true","true","20","76","29d4297e5757b0f4572976c45e213c660fe81717ed1caffd5c8bf45e378a3a46","1","1","false","[{""id"":""must-reject"",""pass"":false,""evidence"":""provider materialized an unsupported flying/teleporting scenario""}]","true","null","0","0","null","null","null","null","null","unexpected-generation","unsupported-request-not-rejected","Provider materialized and simulated an unsupported request","direct-sol/results.json",""
"direct-llm","pedestrian-distance-trigger","Pedestrian starts from vehicle distance","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","15339","15434","2358","786","3144","1","0","null","null","null","null","null","true","true","true","20","89","e068b02357b95f51cd57d478c7d2c8cac97876a0af000d1e68cee5bc6b230668","2","1","true","[{""id"":""vehicle-and-pedestrian"",""pass"":true,""evidence"":""1 vehicles; 1 pedestrians""},{""id"":""pedestrian-distance-start"",""pass"":true,""evidence"":""1 pedestrian distance-triggered actions""}]","true","null","1","1","true","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","pedestrian-ttc-trigger","Pedestrian starts from TTC","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","22943","23020","2359","1345","3704","1","0","null","null","null","null","null","true","true","true","20","73","0f38c0839c7b95e7060266313c3ba0ea8446021acd5be7d8e0b3445949e31d07","2","2","true","[{""id"":""vehicle-and-pedestrian"",""pass"":true,""evidence"":""1 vehicles; 1 pedestrians""},{""id"":""pedestrian-ttc-start"",""pass"":true,""evidence"":""2 pedestrian TTC-triggered actions""}]","true","null","2","0","false","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","child-between-parked-vehicles","Child occluded by two parked vehicles","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","35824","35980","2353","2070","4423","1","0","null","null","null","null","null","true","true","true","20","148","6fcc1bcb53e6adc48a41cd249073a8865a2b7a866a18fc8d38c29b2bf2d09eab","4","5","true","[{""id"":""moving-vehicle-and-child"",""pass"":true,""evidence"":""3 vehicles; child=1""},{""id"":""two-parked-occluders"",""pass"":true,""evidence"":""2 parked large actors""},{""id"":""child-movement"",""pass"":true,""evidence"":""3 child actions""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","synchronized-near-miss","Synchronized conflict-point near miss","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","22221","22224","5049","1280","6329","2","1","null","null","null","null","null","false","false","false","null","null","null","null","null","false","[]","false","null","null","null","null","null","null","null","null","failure","map-binding","near_miss_trigger_unresolved at choreography.interactions.near-miss-1.trigger: near-miss trigger cannot be resolved against the canonical target trajectory","direct-sol/results.json",""
"direct-llm","emergency-yield-response","Distance-triggered emergency yield","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","10642","10750","2361","618","2979","1","0","null","null","null","null","null","true","true","true","20","102","968e860098024223b96db275dd0b614396634503cf2af89d2408da9172480b12","2","1","false","[{""id"":""emergency-actor"",""pass"":false,""evidence"":""emergency actors=0""},{""id"":""relative-yield"",""pass"":true,""evidence"":""1 relative yield actions""}]","true","null","1","1","true","null","null","null","null","semantic-mismatch","semantic-constraints","emergency-actor: emergency actors=0","direct-sol/results.json",""
"direct-llm","signal-delayed-turn","Signal phase delayed turn","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","21604","21686","2356","1381","3737","1","0","null","null","null","null","null","true","true","true","20","76","117875ce35d18ff352e615c1db3c06c292985c8eb10e3cb02c1a4b8b7536287e","2","3","false","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""delayed-turn"",""pass"":false,""evidence"":""turn=false; delayed=false""},{""id"":""signal-control"",""pass"":false,""evidence"":""0 plans; 0 controls""}]","true","null","0","0","null","null","null","null","null","semantic-mismatch","semantic-constraints","delayed-turn: turn=false; delayed=false; signal-control: 0 plans; 0 controls","direct-sol/results.json",""
"direct-llm","merge-rear-gap","Merge after rear-gap acceptance","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","31567","31673","2355","1665","4020","1","0","null","null","null","null","null","true","true","true","20","104","041f7d73ad33234ad903cb8785e4f4f597a6a279589ca28354b5b85354311683","2","1","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""distance-gated-merge"",""pass"":true,""evidence"":""1 distance-gated lateral actions""}]","true","null","1","1","true","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","bus-occluded-cyclist","Cyclist occluded by stopped bus","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","42999","43143","2355","2376","4731","1","0","null","null","null","null","null","true","true","true","20","139","02dde1d33968525b85a9e7e213ad39644644af105cdabf8446a6bd05303a373f","3","4","true","[{""id"":""ego-and-bicycle"",""pass"":true,""evidence"":""3 vehicles; bicycle=true""},{""id"":""stopped-bus"",""pass"":true,""evidence"":""stopped bus=true""},{""id"":""cyclist-lateral-interaction"",""pass"":true,""evidence"":""lateral or near-miss action""}]","true","null","2","0","false","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","lane-change-then-brake","Sequential lane change then brake","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","11281","11386","2355","784","3139","1","0","null","null","null","null","null","true","true","true","20","100","6e3dc0edd30daa2bc6906b5936f196918dd53bd3bde1ca19a5a4cd54ae7503e9","2","3","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""same-actor-sequence"",""pass"":true,""evidence"":""lane change completes before same actor stops""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-sol/results.json",""
"direct-llm","contradictory-constraints","Contradictory physical constraints","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","[]","225127","225151","10442","8412","18854","2","1","null","null","null","null","null","true","true","true","20","21","83b48e8bf138e83bbad3af66c60ca2ebec31dc7755232fcea10c7f7d135764f0","2","0","false","[{""id"":""must-reject-contradiction"",""pass"":false,""evidence"":""provider materialized mutually contradictory collision and separation requirements""}]","true","null","0","0","null","null","null","null","null","unexpected-generation","unsupported-request-not-rejected","Provider materialized and simulated an unsupported request","direct-sol/results.json",""
"direct-llm","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","[]","6446","6572","2356","557","2913","1","0","null","null","null","null","null","true","true","true","20","111","c4e0da56f47b41b70ced7bdbef4f525b4422b25d1f706f82233d51e7e71ef451","2","1","false","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""explicit-stop"",""pass"":false,""evidence"":""stopped actor or zero-speed action""},{""id"":""timed-speed-action"",""pass"":true,""evidence"":""speed action at/after 4s""}]","true","null","0","0","null","null","null","null","null","semantic-mismatch","semantic-constraints","explicit-stop: stopped actor or zero-speed action","direct-terra/results.json",""
"direct-llm","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","[]","7208","7314","2351","597","2948","1","0","null","null","null","null","null","true","true","true","20","98","faf1256b4bafb964fb51cf2040db04da7a971551e1d4e8063ed59f6155875e45","2","1","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""lateral-action"",""pass"":true,""evidence"":""changeLane or laneOffset action""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-terra/results.json",""
"direct-llm","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","[]","8205","8258","2354","712","3066","1","0","null","null","null","null","null","true","true","true","20","50","924f7f52b9ed98b198aedcb03d1673b528fc65c85e95ca7429c8ba821daac0e4","2","2","false","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""turn-route"",""pass"":true,""evidence"":""route turn/path action""},{""id"":""signal-control"",""pass"":false,""evidence"":""signal plan/control/action""}]","true","null","0","0","null","null","null","null","null","semantic-mismatch","semantic-constraints","signal-control: signal plan/control/action","direct-terra/results.json",""
"direct-llm","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","[]","6804","6812","2354","545","2899","1","0","null","null","null","null","null","false","false","false","null","null","null","null","null","false","[]","false","null","null","null","null","null","null","null","null","failure","map-binding","near_miss_infeasible_speed at choreography.interactions.pedestrian-crossing-near-miss.target: no collision-free near miss satisfies the time, speed and clearance bounds","direct-terra/results.json",""
"direct-llm","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","[]","10745","10900","2351","934","3285","1","0","null","null","null","null","null","true","true","true","20","149","a05d758e4cdf59e0e1d0c51bb6f8d646f0c2ec677606abc39ee657d59d8db2c6","3","2","true","[{""id"":""vehicle-and-pedestrian"",""pass"":true,""evidence"":""2 vehicles; pedestrian=true""},{""id"":""static-large-occluder"",""pass"":true,""evidence"":""static occluder; catalogs=vehicle.sedan,vehicle.van,pedestrian.child_walking""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-terra/results.json",""
"direct-llm","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","[]","16365","16505","2354","1432","3786","1","0","null","null","null","null","null","true","true","true","20","133","23a0a8054099c0e27ac2aba79d042ea61ec6bb931f6f35de0ebde2a4be0f0d0e","3","3","true","[{""id"":""three-vehicles"",""pass"":true,""evidence"":""3 vehicles""},{""id"":""coordinated-actions"",""pass"":true,""evidence"":""3 actions""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-terra/results.json",""
