"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"direct-llm","pedestrian-distance-trigger","Pedestrian starts from vehicle distance","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","15339","15434","2358","786","3144","1","0","","","","","","true","true","true","20","89","e068b02357b95f51cd57d478c7d2c8cac97876a0af000d1e68cee5bc6b230668","2","1","true","true","","","1","1","true","","","",""
"direct-llm","pedestrian-ttc-trigger","Pedestrian starts from TTC","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","22943","23020","2359","1345","3704","1","0","","","","","","true","true","true","20","73","0f38c0839c7b95e7060266313c3ba0ea8446021acd5be7d8e0b3445949e31d07","2","2","true","true","","","2","0","false","","","",""
"direct-llm","child-between-parked-vehicles","Child occluded by two parked vehicles","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","35824","35980","2353","2070","4423","1","0","","","","","","true","true","true","20","148","6fcc1bcb53e6adc48a41cd249073a8865a2b7a866a18fc8d38c29b2bf2d09eab","4","5","true","true","","","0","0","","","","",""
"direct-llm","synchronized-near-miss","Synchronized conflict-point near miss","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","failure","map-binding","22221","22224","5049","1280","6329","2","1","","","","","","false","false","false","","","","","","false","false","near_miss_trigger_unresolved at choreography.interactions.near-miss-1.trigger: near-miss trigger cannot be resolved against the canonical target trajectory","","","","","","","",""
"direct-llm","emergency-yield-response","Distance-triggered emergency yield","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","semantic-mismatch","semantic-constraints","10642","10750","2361","618","2979","1","0","","","","","","true","true","true","20","102","968e860098024223b96db275dd0b614396634503cf2af89d2408da9172480b12","2","1","false","true","emergency-actor: emergency actors=0","","1","1","true","","","",""
"direct-llm","signal-delayed-turn","Signal phase delayed turn","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","semantic-mismatch","semantic-constraints","21604","21686","2356","1381","3737","1","0","","","","","","true","true","true","20","76","117875ce35d18ff352e615c1db3c06c292985c8eb10e3cb02c1a4b8b7536287e","2","3","false","true","delayed-turn: turn=false; delayed=false; signal-control: 0 plans; 0 controls","","0","0","","","","",""
"direct-llm","merge-rear-gap","Merge after rear-gap acceptance","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","31567","31673","2355","1665","4020","1","0","","","","","","true","true","true","20","104","041f7d73ad33234ad903cb8785e4f4f597a6a279589ca28354b5b85354311683","2","1","true","true","","","1","1","true","","","",""
"direct-llm","bus-occluded-cyclist","Cyclist occluded by stopped bus","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","42999","43143","2355","2376","4731","1","0","","","","","","true","true","true","20","139","02dde1d33968525b85a9e7e213ad39644644af105cdabf8446a6bd05303a373f","3","4","true","true","","","2","0","false","","","",""
"direct-llm","lane-change-then-brake","Sequential lane change then brake","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","11281","11386","2355","784","3139","1","0","","","","","","true","true","true","20","100","6e3dc0edd30daa2bc6906b5936f196918dd53bd3bde1ca19a5a4cd54ae7503e9","2","3","true","true","","","0","0","","","","",""
"direct-llm","contradictory-constraints","Contradictory physical constraints","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","unexpected-generation","unsupported-request-not-rejected","225127","225151","10442","8412","18854","2","1","","","","","","true","true","true","20","21","83b48e8bf138e83bbad3af66c60ca2ebec31dc7755232fcea10c7f7d135764f0","2","0","false","true","Provider materialized and simulated an unsupported request","","0","0","","","","",""
