"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError"
"direct-llm","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","failure","native-validation","8256","8263","2272","790","3062","1","0","","","","","","true","false","false","","","","2","2","false","true","Materializer rejected candidate: [object Object]"
"direct-llm","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","5316","5413","2267","518","2785","1","0","","","","","","true","true","true","20","89","288d1411f7c0168955b0acc0224a0a719c322c13ce0016df0a0bf8b42ad10464","2","3","true","true",""
"direct-llm","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","4612","4664","2270","436","2706","1","0","","","","","","true","true","true","20","48","685fff90431404b4b47d6127af49aa379d981a4b2b66bca703ae6c8b380fe40d","2","2","false","true","turn-route: route turn/path action; signal-control: signal plan/control/action"
"direct-llm","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","8203","8333","2270","762","3032","1","0","","","","","","true","true","true","20","124","369d68b84658299ca4070e5324dc2c1c290cece0873c16ce9f9ba77992c21b39","2","3","false","true","near-miss-target: route nearMiss target"
"direct-llm","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","9476","9641","2267","914","3181","1","0","","","","","","true","true","true","20","160","926d9221cf8fc2678f2ee449584a5cebf6c930a77a4d777e122afd52cd94573f","3","4","false","true","static-large-occluder: static occluder; catalogs=vehicle.sedan,vehicle.van,pedestrian.child_walking"
"direct-llm","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","10000","10095","2270","973","3243","1","0","","","","","","true","true","true","20","92","4d4f2be948d113bfbbe0ab4e34a3c12d4bbb61e18e70433aedc13940ccc93e3b","3","3","true","true",""
"direct-llm","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","9502","9612","2263","764","3027","1","0","","","","","","true","true","true","20","102","e2e3e95d7d13d27e3f1f2356099d4fa09d45bc7b52063608499de1aad1d08f53","2","3","true","true",""
"direct-llm","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","4856","4917","2262","525","2787","1","0","","","","","","true","true","true","20","57","9f5a02204f5bef4fe97fbe2d1bc8e71aaef25a39ee45e319ccd2cf9076f08470","2","3","false","true","turn-route: route turn/path action"
"direct-llm","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","6236","6329","2265","637","2902","1","0","","","","","","true","true","true","20","91","ffd6237f6c0c7e49c0609b83194eed3b67728d8077f1605f1a2f911b68fb287d","2","3","true","true",""
"direct-llm","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","unexpected-generation","unsupported-request-not-rejected","5282","5367","2265","432","2697","1","0","","","","","","true","true","true","20","81","cb6c83327b7b617c6256b308291baea1049ec26074e9d7a70d1cafdc62c8b5f2","1","2","false","true","Provider materialized and simulated an unsupported request"
"upstream-chat2scenic","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","48016","48128","18283","3084","21367","8","0","276","true","0","true","277","true","true","true","20","103","36405df3ce8393fbf3c823a8a569809f29888163987d6b9890cdc667e82abc14","2","3","false","true","explicit-stop: stopped actor or zero-speed action"
"upstream-chat2scenic","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","46220","46364","18306","3332","21638","8","0","275","true","0","true","276","true","true","true","20","140","e483adf78fe52ba5dd6c2dfb65fb23a013fcc7212200e678eb7d538dbf48f2d3","2","3","true","true",""
"upstream-chat2scenic","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","54331","54374","19015","4430","23445","8","0","305","true","0","true","306","true","true","true","20","40","0ad6511201f982c154a6ad4b4e726891bf57c13e7fcbea35cf10f897375e3cd1","2","4","false","true","turn-route: route turn/path action; signal-control: signal plan/control/action"
"upstream-chat2scenic","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","61434","61536","18405","4888","23293","8","0","283","true","0","true","285","true","true","true","20","99","9292d69123fc415e9d900f0672b57199880b26e98d8a281ed29cb1d323930f62","2","3","false","true","near-miss-target: route nearMiss target"
"upstream-chat2scenic","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","63353","63500","23109","5859","28968","9","0","278","true","0","true","279","true","true","true","20","144","9bc6e09b19e47f876d9f8a7018ede03fd1ba8170848a75aa76a157ae90e481b0","3","3","false","true","static-large-occluder: static occluder; catalogs=vehicle.sedan,vehicle.van,pedestrian.child_walking"
"upstream-chat2scenic","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","55742","55842","23898","4615","28513","9","0","275","true","0","true","276","true","true","true","20","98","b84b8f649487d44ef89acfa79435eb15ebcc38205989a5ac5f02814a19d80dc4","3","3","true","true",""
"upstream-chat2scenic","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","39188","39276","18217","2981","21198","8","0","273","true","0","true","274","true","true","true","20","86","00d3cc8486c082e0533e5013d77f6027f9430c0596a92b8b0f6b0e7715c81264","2","3","true","true",""
"upstream-chat2scenic","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","43912","43988","18731","3279","22010","8","0","276","true","0","true","277","true","true","true","20","74","b749288da373581b11ed96af6a4ec93d016e480f91803b9be8a2c2fcb592e6de","2","3","false","true","turn-route: route turn/path action"
"upstream-chat2scenic","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","62785","62914","23184","4208","27392","9","0","280","true","0","true","281","true","true","true","20","126","36ff7c3cd99f1df7476f9f77effe0daeb5f17e86bf43d4fda1b5bc4313620ca5","3","3","false","true","lateral-action: lateral or near-miss action"
"upstream-chat2scenic","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","unexpected-generation","unsupported-request-not-rejected","43687","43759","13729","3390","17119","7","0","275","true","0","true","276","true","true","true","20","71","edf97ca1419d58addfb52e61a3f03ebd50c507dd714419f340b7b154a489fa92","1","1","false","true","Provider materialized and simulated an unsupported request"
